English,Arabic
 She earned a Golden Globe Award nomination for the role.,حصلت على جائزة جولدن جلوب لترشيحها لهذا الدور.
 He has continued his career by appearing in various cinema and television productions.,وقد استمر في حياته المهنية بظهوره في مختلف برامج السينما والتليفزيون.
" In the 19th century, Plainville was served by the Farmington Canal.",في القرن الـ‍ ١٩ ، كانت مدينة بلينڤيل تخدمها قناة المزرعة.
" Fortunately for patients afflicted with parosmia, symptoms usually decrease with time.",لحسن الحظ للمرضى المصابين بداء البروسوميا، الأعراض عادة ما تتناقص مع الوقت.
 Another anglization was pick of where.,تم اختيار مكان آخر للتسليم.
" In parliamentary elections in September, the party won four seats.",وفي الانتخابات البرلمانية التي جرت في أيلول/سبتمبر، فاز الحزب بأربعة مقاعد.
 to upgrade the standard of education in Pakistan.,:: رفع مستوى التعليم في باكستان.
" Only Shi Kasina and Shi Kriana, who were visiting West Germany, escaped.",ولم يفر إلا من شي كاسينا وشي كريانا اللذين كانا يزوران ألمانيا الغربية.
 The unincorporated community of West Almond is located in the town.,وتقع بلدة ويست ألموند (West Allond) في غرب البلاد.
 A positive result would be the jerking of the foot towards its plantar surface.,والنتيجة الإيجابية هي دفع القدم نحو سطحها المخطط.
" The Slow Media is a media empire in the East, Switzerland.",وسائط الإعلام البطيئة هي إمبراطورية إعلامية في الشرق، سويسرا.
 Such rides were the precursor of the modern log ride amusement park attractions.,ومثل هذه الركوبات هي مقدمة الجذبات العصرية للمتنزهات التي تُسلَّخ على الجذوع.
 Modern doubled dyes in American coinage are being discovered mainly in Lincoln sense.,الأصباغ الحديثة المزدوجة في العملات الأمريكية يتم اكتشافها بشكل رئيسي بمعنى لينكولن.
 He also encouraged development of the mining industry and commerce.,وشجع أيضا تنمية صناعة التعدين والتجارة.
 Users at home of the underdogs gave Treasure Cove.,المستخدمون في منزل المستضعفين أعطوا كوف الكنز
" Their hostess, who had initially denied their presence, was charged with harboring traitors.",واتهم مضيفوهم، الذين أنكروا في البداية وجودهم، بإيواء الخونة.
 He then studied dentistry in Freiburg and Munich.,ثم درس طب الأسنان في فرايبورغ وميونيخ.
 Here it comes!,ها هي تأتي!
 These weapons were used in the shock and awe phase of the Iraq War.,وقد استخدمت هذه الأسلحة في مرحلة الصدمة والرعب من حرب العراق.
 There are also corner shops on the estates.,وهناك أيضاً متاجر في الزوايا في العقارات.
 The suicide of Judas is an execution in which Bezelbub performs the hangman's duty.,انتحار (يهوذا) هو إعدام يقوم فيه (بيزلبوب) بواجب الجلاد
 Stone never married.,(ستون) لم يتزوّج أبدًا.
 He toured Fiji and Tonga with England later that year.,قام بجولة في فيجي وتونغا مع إنجلترا في وقت لاحق من ذلك العام.
 He was later selected by the Conservatives as a European parliamentary candidate.,وفي وقت لاحق اختاره المحافظون كمرشح برلماني أوروبي.
 The Luck of the Roaring Camp is a short story by American author Bret Hart.,الحظ في مخيم المتجولين هو قصة قصيرة من قبل المؤلف الأمريكي بريت هارت.
 He is married to the former Nancy Dorn.,وهو متزوج من نانسي دورن السابق.
 This event is known in paleontology as the Great American Interchange.,ويعرف هذا الحدث في علم علم الأحافير باسم التبادل الأمريكي الكبير.
" Like all test coins, the platinum farthing has a high historic and numismatic value.",مثل جميع عملات الاختبار، والفارغ البلاتينيوم له قيمة تاريخية ونوومية عالية.
" Danny runs in to help him, but is too late.",(داني) يعمل ليساعده، لكنّه متأخر جداً.
 An abbreviated English translation was also made from the Latin by purchase.,وجرت أيضا ترجمة انكليزية مختصرة من اللغة اللاتينية عن طريق الشراء.
 This started the coaching revolution.,بدأ هذا بثورة التدريب.
 Bergamot contains extremely large amounts of polyphenols as compared to other citrus species.,تحتوي بيرغاموت على كميات كبيرة للغاية من البوليفينول بالمقارنة مع الأنواع الأخرى من الحمضيات.
 The end of the play was indicated by the closing of the front curtain.,وقد أشير إلى نهاية المسرحية بإغلاق الستارة الأمامية.
 The unit served in the Bristow campaign.,وقد خدمت الوحدة في حملة بريستو.
 Many such harbors are rios.,العديد من هذه الموانئ هي رياس.
" In France, he broke the world record and he received a financial bonus.",في فرنسا، كسر الرقم القياسي العالمي وحصل على علاوة مالية.
 He later assisted to create numerous organizations to preserve the culture of Nepal.,وساعد في وقت لاحق على إنشاء العديد من المنظمات للحفاظ على ثقافة نيبال.
 Clements Junior High School,المدرسة الإعدادية
 The tax was unique in several respects.,وكانت الضريبة فريدة من عدة جوانب.
" Other names more rarely used include Downy Ash, Swamp Ash, and Water Ash.",ومن بين الأسماء الأخرى التي نادراً ما تُستخدم داوني آش، ومستنقع آش، وماء آش.
 The blazon of the Municipal Coat of Arms is Argent A. Cauldron Ghouls.,ضحلة ساحة الأسلحة البلدية هي (أرجينت أ.
 They had a fight in front of the class.,كانا يتشاجران أمام الصف
" Soon after, Concepcion followed the mother figure of merengue, Mili Quesada.",وبعد فترة وجيزة ، تبع كونسيپسيون شخصية امّه ، ميلي كيسادا.
" Boomsong's younger brother, Yannick Boomsong, is also a professional footballer.",الأخ الأصغر بومسونغ، يانيك بومسونغ، هو أيضا لاعب كرة قدم محترف.
 The lieutenant governor is also limited to two consecutive four-year terms.,ويقتصر منصب نائب الحاكم أيضاً على فترتين متتاليتين مدة كل منهما أربع سنوات.
 The City later issued a statement reversing their interpretation of the sign regulations.,وأصدرت المدينة في وقت لاحق بيانا عكس تفسيرها لأنظمة التوقيع.
" In addition, tutorials, state-of-the-art surveys, and hot topics are increasingly being included.",وبالإضافة إلى ذلك، يجري على نحو متزايد إدراج دروس دراسية واستقصاءات حديثة ومواضيع ساخنة.
 It is designed for civilian use.,وهي مصممة للاستخدام المدني.
 Support for his cause quickly grew.,فَكَيْفَ نَمَى ٱلدَّعْمُ لِمُسَاعَدَتِهِ بِٱسْتِمْرَارٍ ؟
 She was also the first Latina to graduate from Loyola Law School.,وكانت أيضا أول لاتينية تخرجت من مدرسة لويولا للحقوق.
 The commercial species of pistachio has larger fruits and is edible.,والأنواع التجارية من الفستق لها ثمار أكبر وهي صالحة للأكل.
 This arrangement did not last very long.,ولم يستمر هذا الترتيب طويلاً.
 Most of his albums are mounted in accordion fashion.,معظم ألبومه يتم تأليفها في شكل أكورديون.
 Crews expected to complete one lift each week.,ومن المتوقع أن تكمل الطواقم رفعة واحدة كل أسبوع.
 Students began attending classes in the new building when they returned from spring break.,بدأ الطلاب في حضور فصول في المبنى الجديد عندما عادوا من عطلة الربيع.
" Guest political analysts include educators, lobbyists, and former legislators.",ويشمل المحللون السياسيون المدعوون المربين وأعضاء جماعات الضغط والمشرعين السابقين.
" After the war, some of the statues were brought back to Hong Kong.",وبعد الحرب، أعيدت بعض التماثيل إلى هونغ كونغ.
 Shiloh was once a stop on the old Winchester and Western Railroad.,كانت (شيلوه) مرة توقفاً على السكة الحديدية القديمة (وينشستر) والغربية.
" After that time, he represented the riding of Vancouver Quadra until his defeat.",بعد ذلك الوقت، مثّل قيادة (فانكوفر) حتى هزيمته.
 Gilbert has one son and two grandchildren.,ولجيلبرت ابن واحد وأحفادان.
" He was interred in Somerville Cemetery in Augusta, Georgia.",كان محتجزاً في مقبرة (سومرفيل) في (أوغستا) بـ(جورجيا).
 Kudrow was raised in a middle-class Jewish family and had a bat mitzvah ceremony.,وقد نشأ كودرو في أسرة يهودية من الطبقة المتوسطة وكان له احتفال مضرب ميتزفاه.
 Kenyon was an officer in the British Indian Army.,كان (كينيون) ضابطاً في الجيش البريطاني الهندي
 The prize has been called the Nobel Prize of Music in Sweden.,وقد سميت الجائزة جائزة نوبل للموسيقى في السويد.
 We've been stuck in the queue by those roadworks for ages.,لقد كنا عالقين في الطابور من قبل تلك الأعمال الطرقية لأعمار طويلة.
 Then the actual Kringle Throw starts.,ثم يبدأ رمي الكرينجل الفعلي.
 The pool is an outdoor pool and is managed by the Caveside Recreation Committee.,والمسبح عبارة عن مسبح خارجي تديره لجنة الاستجمام في جانب الكهف.
" Samuel English was born in the hamlet of Crebolia in Agaddawe, Northern Ireland.",وُلد صموئيل إنجليزي في قرية كريبوليا في أغاداغوي بأيرلندا الشمالية.
 24 of her crew were killed or missing and 9 wounded.,وقد قُتل أو فُقد 24 شخصاً من طاقمها وأصيب 9 آخرون بجراح.
 It targets a young readership and is owned and managed by Diligent Media Corporation.,"وهي تستهدف جمهوراً صغيراً وتملكها وتديرها شركة "" Widlegent Media Corporation ""."
 Weeks is an American political scientist.,الأسابيع هي عالم سياسي أمريكي.
 Love rearranged parts of the song melodically and used entirely different lyrics.,أحب إعادة ترتيب أجزاء من الأغنية بشكل مائل واستخدم كلمات مختلفة تماما.
 April goes door to door searching for Warren's residence.,(إبريل) يذهب من باب إلى باب يبحث عن منزل (وارن)
 It uses radio waves to ionize and heat a propellant.,وهو يستخدم موجات الراديو لتأيين وتسخين الوقود الدفعي.
 This is the last season to be aired in standard definition.,هذا هو آخر موسم يتم بثه في التعريف القياسي.
" Channel Geldam, I came via train.",قناة (جيلدام)، جئت عبر القطار.
" Projectro's attitude has become increasingly cold, detached, and almost selfish in nature.",لقد أصبح موقف (بروترو) بارداً بشكل متزايد، منفصلاً، و تقريباً أنانياً في طبيعته.
" When Galan finds out, it is already too late, and the damage is irrevocable.",عندما يكتشف (غالان) ذلك، يكون قد فات الأوان بالفعل، ويكون الضرر غير قابل للإلغاء.
 Coons is married and has three sons.,(كونز) متزوج وله ثلاثة أبناء
 The town is home to Genesee Country Village and Museum.,البلدة هي موطن قرية ومتحف مدينة جينيسي.
" Yes, it was Downey.",أجل، لقد كان (داونلي)
 Q values are also featured in particle physics.,كما تظهر قيم Q في فيزياء الجسيمات.
" Representatives from the Treasury may attend the meeting, but only as non-voting observers.",ويجوز لممثلي الخزانة حضور الاجتماع، ولكن فقط بوصفهم مراقبين غير مصوتين.
 You might be interested in that.,قد تكون مهتماً بذلك
 Contemporary reviewers often alluded to these sounds.,وكثيراً ما يشير المستعرضون المعاصرون إلى هذه الأصوات.
 She had only a very small fleet and did not provide long-haul routes.,ولم يكن لديها سوى أسطول صغير جدا ولم توفر طرقا طويلة المدى.
 Episodes of the series were also released in a Japanese LaserDisc set.,كما أُصدرت حلقات من السلسلة في مجموعة لازر ديسك يابانية.
